,original
520,@OfficialDMRC this is the status of entry of Karkarduma metro station. Looks like entering slums. Please coordinate and get this proper right of way. https://t.co/bQuXRYhWA8
523,"@OfficialDMRC Dear Sir, Road Condition from Bhajanpura to Brijpuri (wazirabad road) where Metro work is going-on has become too bad (uneven). You are requested to kindly look into the matter to get the smooth road to avoid unnecessary traffic jam. Thx @DPCC_pollution @dtptraffic"
525,"@OfficialDMRC @OfficialDMRC I have given you the coach no. But still there is no action.

Mei bhi ni lgaunga agli baar se.😑"
526,@OfficialDMRC please get it clean... Train to Dwarka https://t.co/Jzf01WRimu
529,@OfficialDMRC glimpses of NHPC metro station going towards Kashmere gate at 6:12pm .... passanger are not following covid guidelines...plz take action https://t.co/r30TnYR9nf
537,"RT @manideep_shrma: .@OfficialDMRC Kashmiri Gate number 2 machine is not working..

Huge crowd standing ..

Security persons even not check…"
541,@OfficialDMRC last metro timing from terminal 2 metro station to New Delhi metro station.
543,RT @AmirSai43048804: People are not sitting. Kindly clean this as soon as possible.  @OfficialDMRC  Coach no. M2 B20 Metro is going Huda ci…
544,RT @mukulfaiz: This is first coach in @OfficialDMRC reserved for females. @CISFHQrs has often  thrashed men who have entered the first coac…
546,"@bishtmla @OfficialDMRC I have a demand of new Metro line please consider it, From ""Karawal Nagar/Delhi-Up Border to Akshardham/Yamuna bank via Khajuri Khas chowk, Gamdi chowk, Shastri park etc. please look on this route and consider it. @KNPSS_ @CMODelhi @HardeepSPuri"
547,"People are not sitting. Kindly clean this as soon as possible.  @OfficialDMRC  Coach no. M2 B20 Metro is going Huda city center to Samaypur badli. Also, whenever train is going to start please sanitize the metro first and check carefully. It is looking so unhygienic. https://t.co/7h5qg4gVqp"
558,@GoluKum49259791 @OfficialDMRC @TransportDelhi In India out of 20 young people all 20 will offer their seat to a 90 year old man or women. So question is irrelevant. Yes no one will offer seat to a 50 year old man.
567,"The popularity of #DelhiMetro rests on its ability to help commuters travel in the comfort of AC. But some do break laws, wittingly or unwittingly. @warasamar asks the @OfficialDMRC authorities about the rules most violated so far this year

@sanashakil21
https://t.co/NV0WPeFtaw"
578,"@OfficialDMRC @ReaperG93145116 Why @OfficialDMRC not take any action against this YouTube channel which violate your rules and imposed a penalty on it.
https://t.co/JQQyBsxESe
https://t.co/iembkM0p3h"
579,"@OfficialDMRC Metro station name missing
Both metro signage pole missing
Green color pillar missing
AC missing on top floor"
580,"@OfficialDMRC on first Sunday of june 22 visited Huda to Shahdara, after inserted money inside token winding mahine token not received.I asked about this to concerned, he said it will be returned by evening,still https://t.co/qKF3VW5ezn  is not a matter but question commitments."
585,@FahimAh24106941 @OfficialDMRC  DMRC Se Request hai is Par Action Liya Jaye 🚆👍🏻
589,"@OfficialDMRC @GoluKum49259791 Senior Citizen Seat? Age should be mentioned their.. if 18 year old boy is sitting, A men with age of 38 come and ask for seat.. If 38 is sitting thn 50 will come and ask seat.. All the charging slot you put at their seats. What do you think.. Youn people don't need charging slot"
592,"@OfficialDMRC cleaning issue in the couch, pink line towards majlis park M 7D030 https://t.co/XxolFbJtYY"
594,I recharged my Metro card but in AVM machine card not detected but from Paytm successfully recharge. Now what i will do now?? @OfficialDMRC MY CARD NUMBER is 59710888. Please resolve my concern as soon as possible🙏🏻 https://t.co/jXYd3pPD8M
595,@OfficialDMRC is the metro operating normally today? (esp the violet line)
596,@PriyaKu73754749 @OfficialDMRC You’re sense of humour is so great I'm  impressed.
598,@OfficialDMRC kindly take this serious https://t.co/uj6KM1henF
610,RT @makeDelh: Kindly remove these barricades under Dwarka mor station .. so that E-Rickshaw can stand here instead of main Road… due to tha…
612,"RT @dtptraffic: @Piyush2502Pahwa @OfficialDMRC @DelhiPwd @DTP Thanks, area traffic officer has been informed to take necessary action."
614,RT @makeDelh: Kindly remove these barricades under Dwarka mor station .. so that E-Rickshaw can stand here instead of main Road… due to tha…
615,"Kindly remove these barricades under Dwarka mor station .. so that E-Rickshaw can stand here instead of main Road… due to that full jam on main road .. @OfficialDMRC 

@mg110059 @CPCB_OFFICIAL @DPCC_pollution https://t.co/D40gWRrgEu"
620,"People were running frantically. The situation in the metro station was scary. But thank god! all the passengers were evacuated safely and no damage has been reported.

@OfficialDMRC every other day there's technical or electrical issue in Blue line. Why don't you fix the issues?"
624,"Pls decrease AC temperature in train bound for HUDA city centre coach - T2D45 - it is very hot and very cramped 
@OfficialDMRC"
634,@OfficialDMRC I really don't understand the platform arrangements at Yamuna Bank.Most people change between Noida &amp; Vaishali and both the trains comes on non island platforms &amp; passengers has to change through underpass.A little change in platform arrangements will be very much convenient 4pax
636,"@OfficialDMRC Separate the Vaishali branch for better frequency, please."
639,@OfficialDMRC Please hire a better PR agency.
641,"@Piyush2502Pahwa @OfficialDMRC @DelhiPwd @DTP Thanks, area traffic officer has been informed to take necessary action."
643,@OfficialDMRC No mask is worn by the passengers sitting in couch T 7E015 in pink line metro. Just left the mayapuri station moving towards majlis park. Please take action as COVID cases are on rose again https://t.co/5m03xmwCMF
646,@OfficialDMRC @DelhiPwd @dtp - After few days of monitoring we are back to zero. The attached photos were taken today. Can’t we monitor the@ via a camera and PA system. Do not allow them to jam the gate and the road. Or better to construct a bridge or a route. https://t.co/2vD6tX9cog https://t.co/IB9259YBCs
647,"@OfficialDMRC inside trains there are fire extinguishers but there is no way to quickly locate them, there is no information/stickers to indicate thier location inside trains.please give it a thought &amp; do the needful."
650,"@OfficialDMRC @akshitasuneja Dear, Delhi Metro, Same I hv faced many times, I used to grow plants at my garden area then around August every year I am planting them to different areas where I travel. But carrying small plants packed with all safety inside bags even not allowed. Kindly do something about it."
652,Dear @OfficialDMRC please apna server improve karo ab to had ho gai hai avm machine ka yhi haal hai abi morning me card recharge kiya to ab uspe card top up nahi ho raha hai
658,@OfficialDMRC  M3 B35 coach their is lot of person is not wearing mask kindly attention this matter.
660,"Hello @OfficialDMRC 
I recharged card for 200 via amazon pay but while doing top up it was showing server error so I got it recharged from counter for 200 and after that I checked again for top up and now it is showing no top up available. Kindly look into this. https://t.co/iosevvo0rP"
664,"@OfficialDMRC 
Pls take care of Cleaning, Raja Nahar Singh Metro Station... https://t.co/jhfDtkxyIQ"
673,@OfficialDMRC are all metro gates open and will metro be running smoothly today #BharatBandh  ??
674,"@OfficialDMRC Today I have checked at MayurVihar Phase 1 station, but it is showing no top up available for this card. Please resolve the issue or refund my money."
681,This is first coach in @OfficialDMRC reserved for females. @CISFHQrs has often  thrashed men who have entered the first coach. What should be done with all those females? https://t.co/XwmdDQJyzl
682,"@OfficialDMRC 
Please. Start vinod nagar depot as a proper metro station 
I am sure you get a good revenue and a busy n popular station"
683,"@OfficialDMRC Tweet say 110 which include Rithala, went there, than I called cust. care &amp; they said Booth is at Rohini West Statn not in Rithala. i took my baby there but they dont know anything.
KINDLY SHARE DETAILED PLAN
Baccho k sath kyon mazaak kar rahe ho bhai @OfficialDMRC @AAPDelhi"
684,"@imvishalforyou @OfficialDMRC Thanks for very detailed information, very much appreciated. 👍"
686,@RoshanRaj08 @OfficialDMRC We stucked in metro for 10 min with thunder sound inside the coach then after the gates were opened and all passenger were evacuated from Mandi house..don't know when it resumed again
687,@Chirag_mtr @dtptraffic @OfficialDMRC Good camera quality
690,"AC not working at New Delhi metro station
@OfficialDMRC"
691,@OfficialDMRC This is highly irresponsible from Programme Personnel that I went to Mayur Vihaar Metro station and then Akshardham Metro station at 6.30 and I was told that they went already by 5 pm today.
694,"Can videography be allowed to common people, even for vlogs? I have been in doubt since I do not have any information in this regard. I have been thinking since I see people uploading videos on YouTube? Kindly Reply:@OfficialDMRC"
696,@OfficialDMRC Is this the way How Metro take care of people's Important time? Kindly do something else change your staff.
700,@OfficialDMRC i have recharged my metro card through paytm amount 300... I have tried to topup at atleast 4-5 metro station.. Machine says that no top available for this card.. When I gone to help desk they denied to help. Atlast i recharged my card thrgh cash. Where is my money https://t.co/cEoQ8f0Ank
708,"@OfficialDMRC today was the first day of polio, uneven timings i.e.over social media channels it's 8 am to 8pm but by 630 no sight of any official in mayur vihar 1 . Campaign banner itself says 10 to 4 why this miscommunication ???"
710,@OfficialDMRC if mask is mandotry why CISF are letting us ener in metro? They should ask for mask that time while entry gate And if mask is not mandatory why police are stopping while i was talking over phone and asking for fine?
711,"RT @SonalKaur29: @OfficialDMRC @DELHIMETRO didn't expect this much time waiting for delhi metro, you guys are coming up with new lines that…"
716,"@OfficialDMRC @DELHIMETRO didn't expect this much time waiting for delhi metro, you guys are coming up with new lines that are pretty cool but what about the old lines which have already been there especially ""the blue line"", the services are becoming poor day by day, pls improve https://t.co/w0DIdrKULX"
720,"@shanu_rahul @OfficialDMRC @CISFHQrs Okay,,, got it. Kya uske baad Blue Line me normal service resume ho pai?"
725,@sanjayvaoffice @OfficialDMRC @CPDelhi @DCPCentralDelhi Metro Police is taking action in your matter. Thank you for contacting DCP/Metro.
746,@OfficialDMRC at Mandi house power failure...big thumping sound came from coach...smokey coach https://t.co/3d2vlSnXXe
749,Why so much of panic and crowd along with deployment of heavy police at mandi house metro station? @OfficialDMRC
751,"@aalapwhatever @OfficialDMRC Yup I'm 99% sure it is... It sounds exactly like a blast, but people were running out of the metro and almost trampling each other"
753,"@OfficialDMRC there's some issue in the blue line near mandi House, some people are panicking that there was a bomb threat. Pls clarify so people don't panic unnecessarily."
757,@OfficialDMRC why blue line metro running like a bull cart even on Sunday ? How much time this line will take to be get smooth as it was earlier ?
761,"Ye Delhi metro wale bhi Pyaar ke khilaaf hain ..
Announcement karte hain - Kripya aapas mein doori banaye rakhe …
Aisa kyu ?
@OfficialDMRC ..
This doesn’t got translated into Please maintain social distancing..
Please correct announcement and don’t be against love"
764,"@OfficialDMRC No one machine is working , card is ok...
Machin showing only information option"
776,"@OfficialDMRC metro card activation after online recharge  is not working at Huda city center station , please resolve there is huge crowd at station"
779,@OfficialDMRC There is no such facility available at Dwarka Sector 12 Metro Station. Kindly publish updated list.
785,@DS_790 @OfficialDMRC Indeed you are right but sometimes we have to react with our common sense as well becoz it define our character publicly rather than on social media
786,@OfficialDMRC @ShamsAl38371073 How much fine for not wearing a mask in delhi metro ?@OfficialDMRC
802,@OfficialDMRC  i need the solution asal.. MD of dmrc if ur accessing this twitter pls chek and helpe in this your team is not bothering to revet kn this. Shame on your entire uttam nagar team even they have not take any action kn sunil and vikram.. Shame kn u.. I will go to
811,"RT @CBhattacharji: Should Delhi's @OfficialDMRC travel be free or at least a 50-75% discount when the #AirPollution is forecast to cross, s…"
813,"The crucial CMRS approval has been secured for @MetroRailKochi phase 1A 👏

Although it's a relatively shorter reach, the fact that this is the first reach completely understand by KMRL without the assistance of @OfficialDMRC , makes it a special achievement. 

Follow @KochiNext https://t.co/VRAxCrsO26"
815,@OfficialDMRC shame on your entire team. Blody bastered.. Still I have not receive the solution and even not any action by your team.. Shame on we are losing trust on DMRC now.. I need my refund now
825,"@OfficialDMRC respected sir /mam I have recharge my card from phone PE but suddenly by mistake first time I reject the recharge then also my money deducted by second time it recharge successfully,  so plz provide my 200 rupee which your machine has deducted by machine https://t.co/7pP5axoiFl"
840,"@OfficialDMRC
Kindly look into the matter.

I made a metro recharge for 300 by using Amazon pay. Its been approximately 20 days, no refund yet.
Representatives providing false information, behaving rude. Shameful act. https://t.co/J1pMLwZjE4"
843,@OfficialDMRC That matchin are not working on that time and second things matchin are accepting only some particular notes
844,"@OfficialDMRC @1monicap @dtptraffic @DelhiPolice @DCPCentralDelhi @CMODelhi @drbabupgi @parmodsharma14 @piyush_rohankar 
I have lost my phone at RK Ashram Marg, New Delhi at around 3PM today. The Metro Authority is not showing the CCTV footage . I request you to help me find it. https://t.co/BO77l7aWZ7"
845,@ifrootful @OfficialDMRC @DelhiPolice @dtptraffic @DCPCentralDelhi Metro Police is taking action in your matter. Thank you for contacting DCP/Metro.
855,"@OfficialDMRC Red Fort Capital Tower, Punchkuian Furniture Market, Bhai Vir Singh Marg, Gole Market, NeW Delhi-110001
@parsvnathdev @PradeepJainLive"
861,@OfficialDMRC @Priyanka23281 Such a serious issue.. it would be better if you can yourself contact the station controller @OfficialDMRC .
868,"@OfficialDMRC To promote sustainable mobility and first and last mile connectivity:

https://t.co/iLqPCNcZN3"
869,"Dear Concerned Authorities, an illegal cafe and various encroachments infront of Fire Hoses are ongoing in the basement parking of #PunchkuianFurnitureMarket. I request @tweetndmc @delhitwpoh_fire @OfficialDMRC @parsvnathdev @AamAadmiParty to kindly visit the market premises."
873,"Turn off all light entrance gate  for noida sector-59 
@OfficialDMRC time:- 19:54 https://t.co/g68hg1ETZG"
875,@OfficialDMRC @PrakharRstogi What is the punitive action on these to dissuade such behavior?
888,"@mushfiquekhalid @OfficialDMRC Shri Maan , as per my personal experience DMRC too much concious &amp; concerned about it's departmental services.
So we should patience for a while. Bcz nobody here is Superman ☺️ so keep calm for just a moment.
 
Allah Hafiz"
890,"Should Delhi's @OfficialDMRC travel be free or at least a 50-75% discount when the #AirPollution is forecast to cross, say, 200 AQI?
Vehicular transport is a significant source of AP. 
Free, electrified transit can help #airquality
https://t.co/kSHfpYz76v 
https://t.co/5eAeuTqGG4"
896,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
898,@OfficialDMRC Yellow line Coach No. T2 C35 some one has thrown Tabacco DMRC should check the CCTV videos and such peoples should be fined and asked to clean the same. https://t.co/3j0t4oE3wb
899,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
908,"RT @PuneetS02447998: Thank you so much team &amp; salute @CISFHQrs , today from there support &amp; efforts I am able to found my missing Laptop, w…"
909,RT @OfficialDMRC: @PrakharRstogi Hi. It was attended to and cleaned at Subhash Nagar Metro Station.
910,@DhanendraParmar @OfficialDMRC Parmar ji wants someone's smart card to be blocked for a time due to his own mistake.
918,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
920,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
927,"@OfficialDMRC, @Paytm ,@Paytmcare 
Sir , I have metro card  recharge through paytm wallet recharge showing successful but card  top up not showing on machine 
So concern with DMRC counter executive he said dmrc not responsible &amp; mot role in this regarding 
So kindly look. https://t.co/nDt7WLBSHT"
929,@OfficialDMRC Yeah right decision taken as disturbing element always get activated friday evening.
933,@OfficialDMRC My card No is 88512785 I have dobe recharge today by 1000 Rs through paytm ref no is 113874245 order is successful but Machine shows no Top Up is available  for this card please look in the matter. Thanks
936,@OfficialDMRC @PrakharRstogi Not only clean it but investigate on who did this. His ass should be f..ked with a rod
950,@OfficialDMRC people in metro are not wearing 😷 mask is that ok....? Should start checking again by metro
952,Thank you @OfficialDMRC @ArvindKejriwal @msisodia @Secretary_MoHUA for finding my belonging. Much appreciated 😊 https://t.co/2n7XRjJVBN
955,"@OfficialDMRC  I am very much surprised that in the metro rail, station and on walking areas people not wearing Masks most of the youngsters they even not bothering to follow the rules do something, like check in live rails ect...."
957,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
958,"@OfficialDMRC  just by making announcement in metro that ""face mask is mandatory and offenders will be penalised"" is not sufficient ,you have to take actions also. 
Looks like  just a  formality by making announcement."
960,@OfficialDMRC kindly get the service of Air conditioners in metro green line done. ACs are not cooling in this humid weather!
961,@OfficialDMRC please take action minimum  person using mask in metro and public places. https://t.co/YBfp3d2EQC
963,"@OfficialDMRC 
Majority of the people not wearing mask in metro and cases are increasing. 

Hope you will understand the issue and will  monitor and  stick action will be taken."
964,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
966,"PM to open Pragati Maidan Integrated Transit Corridor project on 19th June, main Tunnel and five underpasses to be inaugurated . @narendramodi  @PMOIndia  @ficci_india @FollowCII  @phdchamber  @ASSOCHAM4India  @MVenkaiahNaidu  @OfficialDMRC @nsitharaman 

https://t.co/OeLTsyZc7g"
967,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
971,@OfficialDMRC  i recharged my metro card in the morning and it is not showing any top-up on the top up machine. Kindly look into it. https://t.co/FcNqEVXGTt
972,@OfficialDMRC Green line par 8 coach ki metro bahut jaruri hai.... Specially in working hours (peak time)
974,@kgahlot @dtchq_delhi @OfficialDMRC @CMODelhi @TransportDelhi Great work sir
985,"@OfficialDMRC 

Dear sir,
I am traveling from Dwarka sec21 to Dwarka, when I board on the train at 08:35 am I found the floor and seat of the metro coach M3 C07 is so dirty.insect was on the floor as well mud deposited on the floor. 
This kind of service we are not expecting. https://t.co/rZ7diOJNTK"
991,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
992,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1000,"@OfficialDMRC 
 Please run atleast a single train between 5:30am and 5:45am from Rajeev chowk to Dwarka sec 21...the first train comes at 5:50am at rajeev chowk. thank you."
1002,"Thankyou @OfficialDMRC for instant response.
Your employee anuj Kumar have very soft behaviour.
Again thanks 👍"
1003,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1008,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1010,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1013,@OfficialDMRC Leaves in first one
1016,@aarnavg17 @KunalSuri11 @OfficialDMRC Grey Line at most of the time. While major routes like Blue and Yellow Lines have have less than 4 TPH after 10:00-10:30 PM and before 7 AM.
1019,"@aarnavg17 @KunalSuri11 @OfficialDMRC Which I don't get at all. For all its worth, have never seen exact TPH (Train per hour) for different lines at different hours of day. Unlike other major metro companies. Yellow, Blue, Red and Violet should atleast have 30 TPH in peak hours while no lines should ever have&lt; 4TPH"
1028,@AmazonHelp Send me the condition where it is mentioned that you are not responsible for this and customer has to directly contact the @OfficialDMRC
1031,"@KunalSuri11 @RoshanRaj08 @OfficialDMRC Tf lol, heard this for the first time. Horrible. Especially for an interchange station. Can't wait for the trains to become driverless."
1032,I made a recharge of 300 of my Delhi Metro card at Amazon on 31 May. It was mentioned that I have to tap the card on AVM machine within 30 days of recharge but they issued the refund on 12th June... Look into this and take quick action @amazonIN @amazon @AmazonHelp @OfficialDMRC https://t.co/brBLDho0Vy
1033,@MayaRajput7693 @OfficialDMRC @OfficialDMRC Videography &amp; photography isn't allowed in metro as per rules &amp; regulations. What actions has been taken against this handle for sharing videos of Delhi metro on social media? It can create a security risk.
1034,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1036,"@OfficialDMRC I did a metro card recharge for Rs. 500 today morning through Paytm but it is not reflecting on AVM. I waited the entire day, tried to top up my card on multiple stations but no positive result. The order ID is 18342810860
Kindly look into the matter. https://t.co/cd1SUV7ANI"
1042,"@OfficialDMRC 
Can you plz share the details of First and last metro from MG Road Metro Station."
1043,@RonakRathi23 @OfficialDMRC @ArvindKejriwal Good @RonakRathi23
1045,"@OfficialDMRC 
Request you to please enforce masks inside the trains more strictly. Many people don't wear it and COVID cases are going up too. I am a worried co-passenger. Thank you very much."
1046,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1052,"RT @vipulgargyuva: This is Dasrathpuri metro, see how much encroachment on road. @OfficialDMRC @DelhiPolice @dtptraffic @Akhileshkr99 @guls…"
1056,@OfficialDMRC DMRC official should invest Precious time in productive work..... Not in find the difference type of quiz...
1060,"RT @vipulgargyuva: This is Dasrathpuri metro, see how much encroachment on road. @OfficialDMRC @DelhiPolice @dtptraffic @Akhileshkr99 @guls…"
1061,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1063,"RT @vipulgargyuva: This is Dasrathpuri metro, see how much encroachment on road. @OfficialDMRC @DelhiPolice @dtptraffic @Akhileshkr99 @guls…"
1066,"@kgahlot @dtchq_delhi @OfficialDMRC @CMODelhi @TransportDelhi One more great work done by @AamAadmiParty , @ArvindKejriwal &amp; @kgahlot"
1068,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1069,"@OfficialDMRC , @Paytm ,@Paytmcare 
Sir , I have metro card  recharge through paytm wallet recharge showing successful but card  top up not showing on machine 
So concern with DMRC counter executive he said dmrc not responsible &amp; mot role in this regarding 
So kindly look. https://t.co/a2KHQim2xs"
1072,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1073,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1075,"RT @vipulgargyuva: This is Dasrathpuri metro, see how much encroachment on road. @OfficialDMRC @DelhiPolice @dtptraffic @Akhileshkr99 @guls…"
1079,@MayaRajput7693 @OfficialDMRC Nice... Advice😊😊😊
1080,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1086,@OfficialDMRC is there any issue on blue line. From dwarka towards vaishali/Noida metro. The train is stopping for too much time at each station. Standing at nawada station from almost 5 mins now. People will miss their buses.
1087,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1088,"This is Dasrathpuri metro, see how much encroachment on road. @OfficialDMRC @DelhiPolice @dtptraffic @Akhileshkr99 @gulshanNBT @singhpiya735 https://t.co/XBhlpjzbTy"
1089,"@OfficialDMRC no time waiting display on Dhansa bus stand metro station grey line
After several calls to call centre of delhi metro but no action"
1092,@MonikaGupta_IND @kgahlot @dtchq_delhi @OfficialDMRC @CMODelhi @TransportDelhi Right 👍
1094,@OfficialDMRC What action r u taking except lip service.tiday also the other coach on red line the ac wasn't working
1098,"This is what Uttam Nagar metro station seems to be. Ironically on the pillar, there is a panel that says ""the pillars are the property of @OfficialDMRC no posters or shops should be operated under it"" or something like that I don't remember the exact sentence. https://t.co/zoLvMLtufR"
1102,"@Yashwant110053 @OfficialDMRC Bhai, I'll follow whom I want to...so what's your problem? Moreover my political preference should not be your matter of concern and if you think I am promoting some agenda or something kindly do some ground work and do a fact check of my statement"
1103,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1104,@iis_now @OfficialDMRC @IIMC_India @AshishGoyal_IIS @rajith_iis 👍 Anuj Dayal Sir is a veteran in Metro and Railway PR/ Communication. Certainly a great learning.
1106,"Why upi and online payments are not by delhi metro.
I suffered this they dont have change and not accept any online mode of payment. 
In which year are you living delhi metro.@OfficialDMRC @ABPNews @narendramodi @PMOIndia @BJPcentralmedia"
1107,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1109,@OfficialDMRC This pic taken near lift at Jog Bagh Metro station. वृद्ध शब्द को अंग्रेजी में  Senior Citizen लिखा गया है जो कि उचित नहीं है। Concerned officials should take a note of this for correction asap. @PMOIndia @ArvindKejriwal @AamAadmiParty @LtGovDelhi https://t.co/9n0ROhiAdD
1120,@aasimabbas_786 @OfficialDMRC @CPDelhi Metro Police is taking action in your matter. Thank you for contacting DCP/Metro.
1124,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1125,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1126,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1127,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1129,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1132,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1133,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1135,"@kgahlot @dtchq_delhi @OfficialDMRC @CMODelhi @TransportDelhi I've a suggestion
on road bus lane to inside bus terminal should be a underground way to tackle traffic &amp; congestion &amp; free moving
2 floors or more for parking for all like big malls have
ev charging
cycle stand
dedicated fruit/vegetable selling space for vendors
@OfficialDMRC"
1137,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1138,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1139,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1140,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1141,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1142,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1144,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
1145,"Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelines.
They'll now combine their technical and operational expertise &amp; experience to create new state-of-the-art Bus terminals in a self-sustainable model. https://t.co/xqIwpz9xB8"
1146,"@OfficialDMRC Sir/Madam, I recharged my smart card today at 6:50 AM, 17 Jun 2022 with order ID as 18327120743 of Rs. 200 via Paytm.
The transaction was successfull but the AVM machine is showing that no recharge has been done.
It's been almost 11 hrs now. No progress.
Please help"
1147,@OfficialDMRC need assistance in coach M3D28R regarding unduly passengers eating and sitting on floor with loud noises https://t.co/zOh3ET9Q0u
1148,@OfficialDMRC Please initiate immediate action against the dmrc employee for giving incorrect response (1/2)
1149,@OfficialDMRC The reply given by dmrc can be used as evidence against dmrc as it establishes offence u/s 193 IPC. Dmrc is not presenting the true facts.
1150,"RT @shreykaushik22: Its a situation of delhi metro @OfficialDMRC mansarover park metro station parking, my new car is parked on monthly bas…"
1170,@OfficialDMRC Right
1193,@OfficialDMRC Your tweet was quoted in an article by Business Today | Latest Stock Market And Economy News India https://t.co/HJEkqRTpiO
1198,RT @CISFHQrs: @PuneetS02447998 @OfficialDMRC Warm greetings from @CISFHQrs. Thank you for taking time and sharing your valuable feedback ac…
1218,@OfficialDMRC Better hire me! I'm a graphic designer and digital marketer.
